Tanggal Train,Jam Train,Data Train
3/10/2004,18:00:00,1056
3/10/2004,19:00:00,1174
3/10/2004,20:00:00,1140
3/10/2004,21:00:00,1092
3/10/2004,22:00:00,1205
3/10/2004,23:00:00,1337
3/11/2004,0:00:00,1462
3/11/2004,1:00:00,1453
3/11/2004,2:00:00,1579
3/11/2004,3:00:00,1705
3/11/2004,4:00:00,1818
3/11/2004,5:00:00,1918
3/11/2004,6:00:00,1738
3/11/2004,7:00:00,1490
3/11/2004,8:00:00,1136
3/11/2004,9:00:00,1079
3/11/2004,10:00:00,1218
3/11/2004,11:00:00,1328
3/11/2004,12:00:00,1301
3/11/2004,13:00:00,1162
3/11/2004,14:00:00,983
3/11/2004,15:00:00,1082
3/11/2004,16:00:00,1103
3/11/2004,17:00:00,1008
3/11/2004,18:00:00,799
3/11/2004,19:00:00,702
3/11/2004,20:00:00,743
3/11/2004,21:00:00,957
3/11/2004,22:00:00,1325
3/11/2004,23:00:00,1565
3/12/2004,0:00:00,1254
3/12/2004,1:00:00,1247
3/12/2004,2:00:00,1396
3/12/2004,3:00:00,1680
3/12/2004,4:00:00,1893
3/12/2004,5:00:00,1895
3/12/2004,6:00:00,1685
3/12/2004,7:00:00,1387
3/12/2004,8:00:00,897
3/12/2004,9:00:00,767
3/12/2004,10:00:00,912
3/12/2004,11:00:00,969
3/12/2004,12:00:00,1035
3/12/2004,13:00:00,1008
3/12/2004,14:00:00,949
3/12/2004,15:00:00,922
3/12/2004,16:00:00,954
3/12/2004,17:00:00,1006
3/12/2004,18:00:00,812
3/12/2004,19:00:00,821
3/12/2004,20:00:00,624
3/12/2004,21:00:00,752
3/12/2004,22:00:00,839
3/12/2004,23:00:00,741
3/13/2004,0:00:00,963
3/13/2004,1:00:00,1071
3/13/2004,2:00:00,1176
3/13/2004,3:00:00,1179
3/13/2004,4:00:00,1132
3/13/2004,5:00:00,1420
3/13/2004,6:00:00,1406
3/13/2004,7:00:00,1228
3/13/2004,8:00:00,935
3/13/2004,9:00:00,830
3/13/2004,10:00:00,869
3/13/2004,11:00:00,808
3/13/2004,12:00:00,875
3/13/2004,13:00:00,987
3/13/2004,14:00:00,1088
3/13/2004,15:00:00,1049
3/13/2004,16:00:00,1004
